data,hora,taxa
2024/05/03,10:49:11,10.257963668449573
2024/05/03,10:49:14,10.732156742152426
2024/05/03,10:49:17,11.128946962252597
2024/05/03,10:49:19,10.813435873761616
2024/05/03,10:49:22,10.166123521905181
2024/05/03,10:49:24,10.868951452073713
2024/05/03,10:49:26,10.999550054066399
2024/05/03,10:49:28,11.138969376545827
2024/05/03,10:49:30,10.763891578627176
2024/05/03,10:49:33,10.84268370856216
2024/05/03,14:31:26,10.605926257604716
2024/05/03,14:31:29,10.995097602332217
2024/05/03,14:31:31,10.373541752025442
2024/05/03,14:31:33,10.952446596839843
2024/05/03,14:31:35,10.752107256162137
2024/05/03,14:31:38,11.101286713814627
2024/05/03,14:31:40,10.681843608796223
2024/05/03,14:31:42,10.921968471302849
2024/05/03,14:31:45,10.761299393164485
2024/05/03,14:31:47,10.574045571800314
